p_id,sero
ABO38340.1,H1N1
ABO38351.1,H1N1
ABO38362.1,H1N1
ABO38373.1,H1N1
ABO38384.1,H1N1
ABO52280.1,H1N1
ABP49327.1,H1N1
ABP49481.1,H1N1
ABS00315.1,H1N1
ABS71668.1,H1N1
ABS71672.1,H1N1
ABU80265.1,H1N1
ABW36333.1,H1N1
ABW39883.1,H1N1
ABW40114.1,H1N1
ABW81507.1,H1N1
ABW91526.1,H1N1
ABW94127.1,H1N1
ABY81426.1,H1N1
ACA28846.1,H1N1
ACA33732.1,H1N1
ACA33752.1,H1N1
ACB11782.1,H1N1
ACB11812.1,H1N1
ACB36678.1,H1N1
ACE77927.1,H1N1
ACF25596.1,H1N1
ACF41834.1,H1N1
ACF41933.1,H1N1
ACI45446.1,H1N1
ACJ73766.1,H1N1
ACL79904.1,H1N1
ACM17265.1,H1N1
ACM51329.1,H1N1
ACN33090.1,H1N1
ACN67524.1,H1N1
ACR26715.1,H1N1
ACU43765.1,H1N1
ACU44038.1,H1N1
ACU44361.1,H1N1
ACU44395.1,H1N1
ACU44406.1,H1N1
ACU80014.1,H1N1
ACV49556.1,H1N1
ACY06623.1,H1N1
ACZ05568.1,H1N1
ACZ81556.1,H1N1
ADC45659.1,H1N1
ADC45670.1,H1N1
ADC45813.1,H1N1
ADD21467.1,H1N1
ADF83497.1,H1N1
ADG08198.1,H1N1
ADG08308.1,H1N1
ADG59044.1,H1N1
ADG85794.1,H1N1
ADJ38087.1,H1N1
ADN89270.1,H1N1
ADN92778.1,H1N1
ADO34927.1,H1N1
ADT64860.1,H1N1
ADT78908.1,H1N1
ADT78936.1,H1N1
ADU25478.2,H1N1
ADU53614.1,H1N1
ADV69079.1,H1N1
ADV69090.1,H1N1
ADW01407.1,H1N1
ADW10721.1,H1N1
ADX31858.1,H1N1
ADX96236.1,H1N1
ADY70986.1,H1N1
ADY71526.1,H1N1
ADY71612.1,H1N1
ADY71787.1,H1N1
AEA29580.1,H1N1
AEA29582.1,H1N1
AEA73584.1,H1N1
AEA92634.1,H1N1
AEG64762.1,H1N1
AEI30055.1,H1N1
AEI30056.1,H1N1
AEK50870.1,H1N1
AEK86047.1,H1N1
AEK86048.1,H1N1
AEM75239.1,H1N1
AEN94876.1,H1N1
AEN94886.1,H1N1
AEO01709.1,H1N1
AEO91779.1,H1N1
AEP17277.1,H1N1
AEP32455.1,H1N1
AEQ38190.1,H1N1
AEQ38195.1,H1N1
AEQ61287.1,H1N1
AEQ61347.1,H1N1
AEQ61437.1,H1N1
AET11800.1,H1N1
AET84295.2,H1N1
AEX30517.1,H1N1
AEX33924.1,H1N1
AEX34650.1,H1N1
AEX34768.1,H1N1
AEX35120.1,H1N1
AEX38474.1,H1N1
AEX63617.1,H1N1
AFH76959.1,H1N1
AFH76964.1,H1N1
AFH76980.1,H1N1
AFJ76186.1,H1N1
AFJ78364.1,H1N1
AFL56787.1,H1N1
AFL56810.1,H1N1
AFM46668.1,H1N1
AFM68954.1,H1N1
AFM93986.1,H1N1
AFO64802.1,H1N1
AFO64835.1,H1N1
AFO64868.1,H1N1
AFO65016.1,H1N1
AFO66147.1,H1N1
AFQ34729.1,H1N1
AFQ90529.1,H1N1
AFR75881.1,H1N1
AFR75967.1,H1N1
AFR76123.1,H1N1
AFR76145.1,H1N1
AFR76227.1,H1N1
AFR76238.1,H1N1
AFR76311.1,H1N1
AFR76505.1,H1N1
AFR76623.1,H1N1
AFR76696.1,H1N1
AFR76707.1,H1N1
AFR76739.1,H1N1
AFU09056.1,H1N1
AFU10184.1,H1N1
AFU92387.1,H1N1
AFV53260.1,H1N1
AFV77715.1,H1N1
AFY08044.1,H1N1
AFZ15807.1,H1N1
AFZ15937.1,H1N1
AFZ77460.1,H1N1
AGA19337.1,H1N1
AGB84833.1,H1N1
AGF37789.1,H1N1
AGG53088.1,H1N1
AGG86711.1,H1N1
AGI02406.1,H1N1
AGI40726.1,H1N1
AGI55453.1,H1N1
AGJ73386.1,H1N1
AGK24317.1,H1N1
AGK24463.1,H1N1
AGK43414.1,H1N1
AGL04307.1,H1N1
AGL04309.1,H1N1
AGL04311.1,H1N1
AGL04315.1,H1N1
AGL07471.1,H1N1
AGL96912.1,H1N1
AGQ47740.1,H1N1
AGQ47776.1,H1N1
AGS08781.1,H1N1
AGS48846.1,H1N1
AGU69932.1,H1N1
AGZ61736.2,H1N1
AGZ62339.1,H1N1
AGZ62388.1,H1N1
AGZ62396.1,H1N1
AGZ62404.1,H1N1
AHB20856.1,H1N1
AHB21027.1,H1N1
AHB21448.1,H1N1
AHB21628.1,H1N1
AHB21700.1,H1N1
AHB21712.1,H1N1
AHB22342.1,H1N1
AHB22579.1,H1N1
AHB22687.1,H1N1
AHB22843.1,H1N1
AHB22963.1,H1N1
AHB23011.1,H1N1
AHB23035.1,H1N1
AHB23117.1,H1N1
AHB23664.1,H1N1
AHB51172.1,H1N1
AHB51256.1,H1N1
AHB51328.1,H1N1
AHB51390.1,H1N1
AHB51472.1,H1N1
AHB72834.1,H1N1
AHB73644.1,H1N1
AHD25066.1,H1N1
AHD25415.1,H1N1
AHH00837.1,H1N1
AHI97714.1,H1N1
AHJ02888.1,H1N1
AHK10669.1,H1N1
AHM24191.1,H1N1
AHM24199.1,H1N1
AHM24289.1,H1N1
AHM24301.1,H1N1
AHM97626.1,H1N1
AHW46596.1,H1N1
AHW46624.1,H1N1
AHY20931.1,H1N1
AHY84544.1,H1N1
AHY95104.1,H1N1
AHZ39510.1,H1N1
AHZ44189.1,H1N1
AHZ65637.1,H1N1
AHZ65737.1,H1N1
AIA66731.1,H1N1
AIB06042.1,H1N1
BAA00718.1,H1N1
BAA02768.1,H1N1
BAF03627.1,H1N1
BAG49742.1,H1N1
BAI83395.1,H1N1
BAI83396.1,H1N1
CAA24272.1,H1N1
CAA91080.1,H1N1
CAA91081.1,H1N1
CAC18524.1,H1Nx
CAC86610.1,H1N1
CAP49183.1,H1N1
CCH23216.1,H1N1
CCQ71947.1,H1N1
AAA43090.1,H2N2
AAA43117.1,H2N9
AAA43185.1,H2N2
AAA43243.1,H2N2
AAA43247.1,H2N2
AAA43248.1,H2N2
AAA43578.1,H2N3
AAA43678.1,H2N2
ABB18025.1,H2N5
ABB20141.1,H2N1
ABI84450.1,H2N7
ABI84588.1,H2N3
ABO38098.1,H2N2
ABO38701.1,H2N2
ABO44057.1,H2N2
ABO52247.1,H2N2
ABQ01355.1,H2N2
ACD56302.1,H2N2
ACD56313.1,H2N2
ACD56324.1,H2N2
ACD85198.1,H2N2
ACF47420.1,H2N7
ACF54389.1,H2N2
ACV49600.1,H2N2
ADT78961.1,H2N2
ADT79129.1,H2N2
AFJ12607.1,H2N2
AFJ13347.1,H2N7
AFJ13380.1,H2N7
AFJ13424.1,H2N1
AFM09428.1,H2N5
AFV53205.1,H2N2
AFV53271.1,H2N2
AFV53293.1,H2N2
AFV53314.1,H2N2
AGK43532.1,H2N3
AGW43444.1,H2N5
AGY79889.1,H2N3
AGY80411.1,H2N3
AHN96842.1,H2N3
AHZ39463.1,H2N5
AHZ39487.1,H2N3
BAC43764.1,H2N2
BAF49415.1,H2N3
AAC59602.2,H3N2
AAT08004.1,H3N2
AAT12704.2,H3N2
AAV80798.1,H3N2
AAW78047.1,H3N2
AAX35871.1,H3N2
AAX47525.1,H3N2
AAX56590.1,H3N2
AAX57924.1,H3N2
AAY28395.1,H3N2
AAY46201.1,H3N2
AAZ32951.1,H3N2
ABA43336.1,H3N2
ABB04906.1,H3N2
ABB04928.1,H3N2
ABB46392.1,H3N2
ABB51963.1,H3N2
ABB79957.1,H3N2
ABB80023.1,H3N2
ABB80672.1,H3N2
ABB96363.1,H3N2
ABB96520.1,H3N2
ABD15746.1,H3N2
ABD16718.1,H3N2
ABD59853.1,H3N2
ABD61249.1,H3N2
ABE73115.1,H3N2
ABF17959.1,H3N2
ABF21269.1,H3N2
ABF60578.1,H3N2
ABG37230.1,H3N2
ABG48181.1,H3N2
ABG80073.1,H3N2
ABG88531.1,H3N2
ABI20958.1,H3N2
ABJ16785.1,H3N2
ABO52071.1,H3N2
ABQ57239.1,H3N2
ABQ97200.1,H3N2
ABQ97202.1,H3N2
ABS50053.1,H3N2
ABU92710.1,H3N2
ABW80976.1,H3N2
ABY81821.1,H3N2
ABY81829.1,H3N2
ACA33674.1,H3N2
ACD35865.1,H3N2
ACD35872.1,H3N2
ACD88648.1,H3N2
ACE77938.1,H3N2
ACE77939.1,H3N2
ACE77942.1,H3N2
ACE77944.1,H3N2
ACE77946.1,H3N2
ACF22148.1,H3N2
ACF25543.1,H3N2
ACF36262.1,H3N2
ACF36396.1,H3N2
ACF36398.1,H3N2
ACF36458.1,H3N2
ACF41900.1,H3N2
ACF54565.1,H3N2
ACI26560.1,H3N2
ACI26571.1,H3N2
ACI26593.1,H3N2
ACK99476.1,H3N2
ACM80372.1,H3N2
ACO95226.1,H3N2
ACO95270.1,H3N2
ACQ65691.1,H3N2
ACT21466.1,H3N2
ACT67801.1,H3N2
ACU12494.1,H3N2
ACU46717.1,H3N2
ACV42073.1,H3N2
ACV42106.1,H3N2
ACY06456.1,H3N2
ACY06458.1,H3N2
ACY06459.1,H3N2
ACY67022.1,H3N2
ACZ53956.1,H3N2
ACZ53978.1,H3N2
ADD21560.1,H3N2
ADJ41816.1,H3N2
ADK89127.1,H3N2
ADT79030.1,H3N2
ADT79161.1,H3N2
ADV58875.1,H3N2
ADV58876.1,H3N2
ADV58880.1,H3N2
AEM75523.1,H3N2
AEP17308.1,H3N2
AET75834.1,H3N2
AET76690.1,H3N2
AEU05027.1,H3N2
AEX30540.1,H3N2
AEX35428.1,H3N2
AEZ02122.1,H3N2
AFD32574.1,H3N2
AFD64223.1,H3N2
AFG71942.1,H3N2
AFG71953.1,H3N2
AFG71996.1,H3N2
AFG72085.1,H3N2
AFG72096.1,H3N2
AFG72173.1,H3N2
AFG72350.1,H3N2
AFG72735.1,H3N2
AFG72823.1,H3N2
AFG98830.1,H3N2
AFG98863.1,H3N2
AFG98940.1,H3N2
AFG99006.1,H3N2
AFG99094.1,H3N2
AFG99138.1,H3N2
AFG99237.1,H3N2
AFG99248.1,H3N2
AFG99347.1,H3N2
AFG99402.1,H3N2
AFG99501.1,H3N2
AFH00065.1,H3N2
AFH00076.1,H3N2
AFH00098.1,H3N2
AFH00263.1,H3N2
AFH00329.1,H3N2
AFH00461.1,H3N2
AFH00494.1,H3N2
AFH00725.1,H3N2
AFH53677.1,H3N2
AFH53725.1,H3N2
AFH53736.1,H3N2
AFJ74842.1,H3N2
AFJ77517.1,H3N2
AFJ77891.1,H3N2
AFM47137.1,H3N2
AFM47165.1,H3N2
AFM71731.1,H3N2
AFM72098.1,H3N2
AFM72186.1,H3N2
AFM72257.1,H3N2
AFM72312.1,H3N2
AFM72356.1,H3N2
AFM93978.1,H3N2
AFP83236.1,H3N2
AFP99689.1,H3N2
AFQ34707.1,H3N2
AFR42694.1,H3N2
AFR42701.1,H3N2
AFU08788.1,H3N2
AFU08828.1,H3N2
AFU08944.1,H3N2
AFU08988.1,H3N2
AFU09053.1,H3N2
AFU10042.1,H3N2
AFU10043.1,H3N2
AFV31487.1,H3N2
AFV33742.1,H3N2
AFV33954.1,H3N2
AGA19044.1,H3N2
AGB98777.1,H3N2
AGC13516.1,H3N2
AGF69071.1,H3N2
AGG53177.1,H3N2
AGI02552.1,H3N2
AGK24287.1,H3N2
AGK62750.1,H3N2
AGL04365.1,H3N2
AGL06095.1,H3N2
AGL06857.1,H3N2
AGL07410.1,H3N2
AGL07673.1,H3N2
AGL09786.1,H3N2
AGL09815.1,H3N2
AGL09881.1,H3N2
AGL58957.1,H3N2
AGM53491.1,H3N2
AGM53496.1,H3N2
AGM53498.1,H3N2
AGO00313.1,H3N2
AGO51411.1,H3N2
AGO51415.1,H3N2
AGQ47835.1,H3N2
AGQ88476.1,H3N2
AGS08785.1,H3N2
AGS08997.1,H3N2
AGT18748.1,H3N2
AGZ60429.1,H3N2
AGZ60571.1,H3N2
AGZ61154.1,H3N2
AGZ61178.1,H3N2
AGZ61211.1,H3N2
AGZ61248.1,H3N2
AGZ61259.1,H3N2
AGZ61263.1,H3N2
AHA11511.1,H3N2
AHA38263.1,H3N2
AHA57151.1,H3N2
AHA98453.1,H3N2
AHA98464.1,H3N2
AHB20931.1,H3N2
AHB22213.1,H3N2
AHB22225.1,H3N2
AHB22532.1,H3N2
AHB22567.1,H3N2
AHB22615.1,H3N2
AHB22699.1,H3N2
AHB22855.1,H3N2
AHB22939.1,H3N2
AHB22975.1,H3N2
AHB23143.1,H3N2
AHB24430.1,H3N2
AHB24776.1,H3N2
AHB51244.1,H3N2
AHB51316.1,H3N2
AHB51520.1,H3N2
AHB72773.1,H3N2
AHC58029.1,H3N2
AHC69322.1,H3N2
AHD25010.1,H3N2
AHD25126.1,H3N2
AHH25326.1,H3N2
AHL21511.1,H3N2
AHL58744.1,H3N2
AHL81845.1,H3N2
AHL82087.1,H3N2
AHL95518.1,H3N2
AHN00657.1,H3N2
AHN03147.1,H3N2
AHN97322.1,H3N2
AHW46830.1,H3N2
AHW83226.1,H3N2
AHX38310.1,H3N2
AHX38928.1,H3N2
AHY95001.1,H3N2
AHY95096.1,H3N2
AHY95100.1,H3N2
AHZ44225.1,H3N2
AHZ65629.1,H3N2
AHZ65741.1,H3N2
AHZ65749.1,H3N2
AHZ65765.1,H3N2
AIA24431.1,H3N2
AIA24447.1,H3N2
AIB06070.1,H3N2
AIC73749.1,H3N2
AIC73815.1,H3N2
BAG28227.1,H3N2
BAH02110.1,H3N2
BAH98103.1,H3N2
BAI68198.1,H3N2
BAJ14029.1,H3N2
BAK41887.1,H3N2
BAM42775.1,H3N2
BAM62981.1,H3N2
BAN14745.1,H3N2
BAN14747.1,H3N2
CAA29337.1,H3N2
CAC81018.1,H3N2
CDJ79889.1,H3N2
AAU25861.1,H3N3
ABA27440.1,H3N1
ABA46957.1,H3N1
ABB88369.1,H3N8
ABD85122.1,H3N1
ABI54388.1,H3N1
ACA04574.1,H3N8
ACF24987.1,H3N5
ACF47409.1,H3N5
ACF47464.1,H3N7
ACH95660.1,H3N8
ACN90987.1,H3N1
ADD21428.1,H3N1
ADZ05627.1,H3Nx
ADZ05628.1,H3Nx
AEK49444.1,H3N8
AET76679.1,H3N8
AFM09320.1,H3N8
AFR76416.1,H3N1
AGA19326.1,H3N1
AGE02663.1,H3N8
AGG25652.1,H3N8
AGG82133.1,H3N8
AGK42156.1,H3N8
AGW43288.1,H3N6
AGW44014.1,H3N5
AHB21195.1,H3N1
AHN96710.1,H3N8
AHN97178.1,H3N8
AHZ40057.1,H3Nx
AHZ43485.1,H3N6
AHZ43660.1,H3N6
AHZ44129.1,H3N8
AIA62032.1,H3N8
BAF43466.1,H3N9
BAJ09275.1,H3N8
BAO56967.1,H3N6
CAA24271.1,H3N8
CAD20336.1,H3N8
AAA43205.1,H5N9
AAC54378.1,H5N3
AAP71989.2,H5N2
AAS07023.1,H5N2
ABC69150.1,H5N1
ABC72655.1,H5N1
ABD73284.1,H5N1
ABI84495.1,H5N2
ABJ16565.1,H5N2
ABJ51739.1,H5N1
ABK34764.2,H5N1
ABQ11257.2,H5N1
ABW21667.1,H5N1
ABX10497.1,H5N1
ABY79833.1,H5N1
ACD12274.1,H5N1
ACF25627.1,H5N9
ACF25679.1,H5N2
ACF74243.1,H5N7
ACI41126.1,H5N1
ACJ26374.1,H5N1
ACO07033.1,H5N1
ACO07038.1,H5N1
ACO07043.1,H5N1
ACR49193.1,H5N1
ACT15355.1,H5N1
ACU46644.1,H5N1
ACV90543.1,H5N2
ACV90903.1,H5N2
ACV91043.1,H5N2
ACX31973.1,H5N1
ACX31981.1,H5N1
ACX31993.1,H5N1
ACX48061.1,H5N1
ACY80644.1,H5N2
ACZ48510.1,H5N1
ADC29463.1,H5N2
ADF83650.1,H5N1
ADG21445.1,H5N1
ADG59049.1,H5N1
ADG59054.1,H5N1
ADG59055.1,H5N1
ADG59060.1,H5N1
ADG59063.1,H5N1
ADG59064.1,H5N1
ADG59067.1,H5N1
ADG59070.1,H5N1
ADG59089.1,H5N1
ADG59090.1,H5N1
ADI46319.1,H5N1
ADI46320.1,H5N1
ADM33949.1,H5N1
ADM85846.1,H5N1
ADM85857.1,H5N1
ADM85867.1,H5N1
ADM95450.1,H5N1
ADT64868.1,H5N2
AEN94603.1,H5N1
AEO52326.1,H5N1
AEO89145.1,H5N1
AEO89163.1,H5N1
AEO89172.1,H5N1
AEP71333.1,H5N1
AEV40282.1,H5N2
AFE48437.1,H5N2
AFJ18989.1,H5N1
AFJ69901.1,H5N1
AFK13944.1,H5N5
AFM08869.1,H5N2
AFM08891.1,H5N2
AFR60992.1,H5N1
AFU10229.1,H5N3
AFW18314.1,H5N1
AFW18325.1,H5N1
AGB84799.1,H5N1
AGG86723.1,H5N1
AGH25309.1,H5N1
AGH25310.1,H5N1
AGH55479.1,H5N1
AGI02344.1,H5N1
AGO02249.1,H5N1
AGO87255.1,H5N1
AGW27061.1,H5N1
AGX00864.1,H5N1
AHC28996.1,H5N5
AHC69182.1,H5N1
AHF20383.1,H5N1
AHF20402.1,H5N1
AHF20413.1,H5N1
AHF20428.1,H5N1
AHF20480.1,H5N1
AHI43541.1,H5N1
AHI97132.1,H5N2
AHL83031.1,H5N3
AHL83056.1,H5N3
AHM97674.1,H5N5
AHM98133.1,H5N5
AHM98204.1,H5N5
AHN19556.1,H5N1
AHN19564.1,H5N1
AHY20736.1,H5N1
AHY20744.1,H5N1
AHY95115.1,H5N2
AIA24403.1,H5N6
AIA24403.1,H5N6
BAD89325.1,H5N1
BAK42590.1,H5N1
BAK42591.1,H5N1
BAL61225.1,H5N1
BAN42578.1,H5N1
BAN79067.1,H5N1
BAN81923.1,H5N1
BAO74193.1,H5N8
CAP45718.1,H5N1
BAK24094.1,H5N1
BAM36148.1,H5N1
BAM36159.1,H5N1
AAV30828.1,H5N1
AAW80717.1,H5N1
ABI36450.1,H5N1
ACB70647.1,H5N1
ACJ26341.1,H5N1
ACT15320.1,H5N1
ADG21416.1,H5N1
ADG21437.1,H5N1
ADG21441.1,H5N1
ADG28681.1,H5N1
